label,score
LABEL_1,0.9998008608818054
LABEL_3,0.9997301697731018
LABEL_4,0.9998329877853394
LABEL_3,0.9997472167015076
LABEL_1,0.9998681545257568
LABEL_4,0.9998334646224976
LABEL_3,0.999750554561615
LABEL_1,0.9998644590377808
LABEL_3,0.9997491240501404
LABEL_1,0.9998651742935181
LABEL_4,0.9998339414596558
LABEL_1,0.9998656511306763
LABEL_1,0.9996305704116821
LABEL_4,0.9998335838317871
LABEL_1,0.9998657703399658
LABEL_1,0.999796450138092
LABEL_1,0.9998624324798584
LABEL_1,0.9997797608375549
LABEL_4,0.9998337030410767
LABEL_3,0.999749481678009
LABEL_4,0.9998331069946289
LABEL_3,0.9996786117553711
LABEL_4,0.9998315572738647
LABEL_3,0.9997507929801941
LABEL_1,0.9998633861541748
LABEL_1,0.5336430668830872
LABEL_4,0.9998356103897095
LABEL_4,0.9998335838317871
LABEL_1,0.9998621940612793
LABEL_1,0.999795138835907
LABEL_3,0.9997124075889587
LABEL_1,0.9998623132705688
LABEL_3,0.9997482895851135
LABEL_4,0.9998276233673096
LABEL_4,0.9998331069946289
LABEL_1,0.9998654127120972
LABEL_3,0.99973064661026
LABEL_4,0.9998341798782349
LABEL_3,0.9997499585151672
LABEL_3,0.999627947807312
LABEL_1,0.9997813105583191
LABEL_4,0.9998319149017334
LABEL_1,0.9998666048049927
LABEL_3,0.9997151494026184
LABEL_4,0.9998334646224976
LABEL_3,0.9997493624687195
LABEL_4,0.999834418296814
LABEL_1,0.9998631477355957
LABEL_4,0.9998306035995483
LABEL_4,0.9998340606689453
LABEL_3,0.9997438788414001
LABEL_1,0.9998031258583069
LABEL_4,0.9998338222503662
LABEL_3,0.9997437596321106
LABEL_3,0.9996265172958374
LABEL_4,0.9998334646224976
LABEL_3,0.999711811542511
LABEL_3,0.9996973276138306
LABEL_4,0.9998338222503662
LABEL_3,0.9996132254600525
LABEL_1,0.5337401032447815
LABEL_4,0.9998326301574707
LABEL_4,0.9998331069946289
LABEL_1,0.9998212456703186
LABEL_3,0.9997519850730896
LABEL_4,0.999828577041626
LABEL_1,0.999817430973053
LABEL_4,0.9998358488082886
LABEL_3,0.999736487865448
LABEL_4,0.9998352527618408
LABEL_4,0.9998331069946289
LABEL_4,0.9998338222503662
LABEL_1,0.999862790107727
LABEL_3,0.9996508359909058
LABEL_4,0.9998337030410767
LABEL_4,0.9998345375061035
LABEL_4,0.9998332262039185
LABEL_3,0.9996150732040405
LABEL_1,0.9997825026512146
LABEL_4,0.9998328685760498
LABEL_1,0.9998677968978882
LABEL_3,0.9997172951698303
LABEL_3,0.9996770620346069
LABEL_3,0.9996137022972107
LABEL_4,0.9998331069946289
LABEL_4,0.9998331069946289
LABEL_4,0.9998337030410767
LABEL_3,0.9992629885673523
LABEL_4,0.9998334646224976
LABEL_3,0.999651312828064
LABEL_4,0.9998382329940796
LABEL_4,0.9998308420181274
LABEL_3,0.9997333884239197
LABEL_1,0.9998605251312256
LABEL_3,0.9992187023162842
LABEL_4,0.9998337030410767
LABEL_3,0.9992740750312805
LABEL_1,0.9997777342796326
LABEL_3,0.9997484087944031
LABEL_3,0.9997487664222717
LABEL_1,0.9998658895492554
LABEL_1,0.9998619556427002
LABEL_1,0.9997510313987732
